dia;sexo;clube;valor
segunda-feira;m;A;135
terca-feira;f;B;56
quarta-feira;f;B;88
quinta-feira;f;A;54
sexta-feira;m;B;72
sabado;m;A;162
domingo;m;A;187
segunda-feira;f;A;81
terca-feira;f;A;125
quarta-feira;f;B;48
quinta-feira;f;A;172
sexta-feira;f;A;142
sabado;f;A;30
domingo;m;B;41
segunda-feira;m;B;140
terca-feira;m;A;40
quarta-feira;m;A;94
quinta-feira;m;A;149
sexta-feira;m;B;174
sabado;m;B;60
domingo;f;B;36
segunda-feira;f;A;172
terca-feira;f;B;68
quarta-feira;f;A;169
quinta-feira;f;B;99
sexta-feira;f;A;79
sabado;m;B;165
domingo;m;B;185
